Kode	Uraian	Satuan	 Harga 
M.247	Serat Semen Gel 105x150	Lbr	 Rp83,100 
M.248	Serat Semen Gel 105x210	Lbr	 Rp87,300 
M.249	Serat Semen Gel 105x240	Lbr	 Rp91,600 
M.250	Serat Semen Gel 105x270	Lbr	 Rp96,200 
M.251	Serat Semen Gel 105x300	Lbr	 Rp101,100 
M.252	Serat Semen Gel 108x180	Lbr	 Rp106,100 
M.253	Serat Semen Gel 108x210	Lbr	 Rp111,400 
M.254	Serat Semen Gel 108x240	Lbr	 Rp117,000 
M.255	Serat Semen Gel 108x270	Lbr	 Rp122,800 
M.256	Serat Semen Gel 108x300	Lbr	 Rp129,000 
M.257	Serat Semen Gel 92x180	Lbr	 Rp135,400 
M.258	Serat Semen Gel 92x200	 Lbr 	 Rp142,200 
M.259	Serat Semen Gel 92x225	Lbr	 Rp149,300 
M.260	Serat Semen Gel 92x250	Lbr	 Rp156,800 
M.261	Serbuk Batu Granit	Kg	 Rp57,400 
M.262	Serbuk Batu Traso	Kg	 Rp74,000 
M.263	Sunscreen Aluminium	m2	 Rp324,200 
M.264	Underlayer	m2	 Rp71,400 
M.265	Venetions Blinds dan Vertical Blinds (Tirai)	m2	 Rp361,200 
M.266	Vynil	Buah	 Rp19,600 
M.267	Wallpaper	m1	 Rp109,300 
M.268	Teraso Cor	m3	 Rp2,484,000 
M.269	Homogeneous Tile Uk. 30x30cm	Buah	 Rp40,500 
M.270	Homogeneous Tile Uk. 40x40cm	Buah	 Rp84,600 
M.271	Homogeneous Tile Uk. 60x60cm	Buah	 Rp222,600 
M.272	Dynabolt	Buah	 Rp7,800 
M.273	Porselen Uk. 11x11cm	Buah	 Rp1,400 
M.274	Porselen Uk. 11x11cm	Dus	 Rp112,800 
M.275	Porselen Uk. 10x20cm	Buah	 Rp4,400 
M.276	Porselen Uk. 20x20cm	Buah	 Rp19,000 
M.277	Veeneer Urat Kayu Tebal 2mm	m2	 Rp452,400 
M.278	Waterproofing Acrylic Base	Kg	 Rp124,300 
M.279	Waterproofing Cristalin	Kg	 Rp114,700 
M.280	Waterproofing Membran Bakar	m2	 Rp82,900 
M.281	Waterproofing Semen Base	Kg	 Rp23,000 
M.282	Wood Filler	Kg	 Rp36,300 
M.283	Woodstain	Kg	 Rp45,200 
	 HARGA BAHAN SISTEM MANAJEMEN KESELAMATAN KONSTRUKSI		 Rp- 
