1.1.3.1	Pek. 1 m2 Pembersihan & Pengupasan Permukaan Tanah (Striping) sd Tanaman ∅ 2cm					
A	 TENAGA KERJA					  
	 Pekerja	 L.01	OH	0.0016	 152,900.00 	 244.64 
	 Tukang Besi	 L.02	OH	0.0016	 178,600.00 	 285.76 
	 Kepala Tukang	 L.03	OH	0.00016	 204,300.00 	 32.69 
	 Mandor	 L.04	OH	0.00016	 230,000.00 	 36.80 
				 JUMLAH HARGA TENAGA KERJA		 599.89 
B	 BAHAN					  
*)	 Baja Tulangan Polos (BjTP)	M.342	Kg	1.020	 20,700.00 	 21,114.00 
	 Kawat Bendrat	M.353	Kg	0.028	 28,200.00 	 789.60 
				 JUMLAH HARGA BAHAN		 21,903.60 
C	 PERALATAN				  	  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 22,503.49 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 22,503.49 
		Catatan :				
		*)	BjTP atau BjTS sesuaikan dengan kebutuhan			
						
						
A.4.1.1.17.a	Pembesian 1 kg dengan besi polos atau besi ulir				  	  
No	Uraian	Kode	Satuan	 Koefisien 	 Harga 	 Jumlah Harga 
A	TENAGA				  	  
	Pekerja	L.01.01	OH	 0.01 	 152,900 	 1,070 
	Tukang Besi	L.02.05	OH	 0.01 	 178,600 	 1,250 
	Kepala Tukang	L.03.01	OH	 0.00 	 204,300 	 143 
	Mandor	L.04.01	OH	 0.00 	 230,000 	 92 
				 JUMLAH TENAGA KERJA 		 2,556 
B	BAHAN				  	  
	Besi beton (polos/ulir)		kg	 1.05 	 14,256 	 14,969 
	Kawat beton		kg	 0.02 	 22,500 	 338 
				 JUMLAH HARGA BAHAN 		 15,307 
C	PERALATAN				  	  
				 JUMLAH HARGA ALAT 		 - 
D	Jumlah (A+B+C)				  	 17,862 
E	Overhead & Profit (Maksimal 15%)			0%	  	 - 
F	Harga Satuan Pekerjaan (D+E)				  	 17,862 
						  
3.6.3.2	Pek. Pemasangan 1 m2 Dinding Kerawang (rooster) Uk. 12x11x24cm dengan Mortar Tipe N Fc’ 5.2 MPa (Setara Campuran 1SP : 4PP)					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	L.01	OH	0.2000	 152,900.00 	 30,580.00 
	 Tukang	L.02	OH	0.1000	 178,600.00 	 17,860.00 
	 Kepala Tukang	L.03	OH	0.0100	 204,300.00 	 2,043.00 
	 Mandor	L.04	OH	0.0033	 230,000.00 	 759.00 
				 JUMLAH HARGA TENAGA KERJA		 51,242.00 
B	 BAHAN					  
	 Bata Rooster	M.41	Buah	36.460	 21,000.00 	 765,660.00 
	 Semen Portland	M.33	Kg	11.000	 1,600.00 	 17,600.00 
	 Pasir Pasang	M.28	m3	0.035	 149,200.00 	 5,222.00 
				 JUMLAH HARGA BAHAN		 788,482.00 
C	 PERALATAN				  	  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 839,724.00 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 839,724.00 
						
						
3.7.6	Pek. Pemasangan 1 m2 Plesteran 1SP : 6PP Tebal 15mm					
No	Uraian	Kode	Satuan	Koefisien	 Harga 	 Jumlah Harga (Rp) 
A	 TENAGA KERJA					  
	 Pekerja	L.01	OH	0.2000	 152,900.00 	 30,580.00 
	 Tukang	L.02	OH	0.1000	 178,600.00 	 17,860.00 
	 Kepala Tukang	L.03	OH	0.0100	 204,300.00 	 2,043.00 
	 Mandor	L.04	OH	0.0033	 230,000.00 	 759.00 
				 JUMLAH HARGA TENAGA KERJA		 51,242.00 
B	 BAHAN					  
	 Semen Portland	M.33	Kg	4.416	 1,600.00 	 7,065.60 
	 Pasir Pasang	M.28	m3	0.027	 149,200.00 	 4,028.40 
				 JUMLAH HARGA BAHAN		 11,094.00 
C	 PERALATAN					  
				 JUMLAH HARGA ALAT		 -   
						  
D	 Jumlah Harga Tenaga Kerja, Bahan, dan Peralatan (A+B+C)  					 62,336.00 
E	 Biaya Umum dan Keuntungan  (10% - 15%) x D 			0%		 -   
F	 Harga Satuan Pekerjaan (D+E)					 62,336.00 
						
3.7.8	Pek. Pemasangan 1 m2 Acian					
